mdr_increase_pct,new_net_revenue,new_margin_pct,uplift
0.0,42531.502817,0.2980472072659679,0.0
0.1,56801.558627000006,0.398047207265968,14270.055810000002
0.2,71071.61443700001,0.498047207265968,28540.111620000003
0.30000000000000004,85341.670247,0.5980472072659679,42810.16743000001
0.4,99611.726057,0.6980472072659679,57080.22324000001
0.5,113881.781867,0.7980472072659679,71350.27905
0.6000000000000001,128151.83767700002,0.898047207265968,85620.33486000002
0.7000000000000001,142421.89348700002,0.9980472072659681,99890.39067000002
0.8,156691.949297,1.098047207265968,114160.44648000001
0.9,170962.005107,1.198047207265968,128430.50229000002
1.0,185232.060917,1.298047207265968,142700.5581
